timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700108241945,10869,HTTP Request,200,OK,Thread Group 1-65,text,true,,129618,118,21,21,https://www.cricbuzz.com/,10259,0,10047
1700108238970,13844,HTTP Request,200,OK,Thread Group 1-2,text,true,,129630,118,21,21,https://www.cricbuzz.com/,13244,0,13002
1700108241397,11418,HTTP Request,200,OK,Thread Group 1-54,text,true,,129618,118,20,20,https://www.cricbuzz.com/,10807,0,10561
1700108242345,10470,HTTP Request,200,OK,Thread Group 1-73,text,true,,129630,118,20,20,https://www.cricbuzz.com/,9881,0,9619
1700108240146,12670,HTTP Request,200,OK,Thread Group 1-29,text,true,,129630,118,20,20,https://www.cricbuzz.com/,12050,0,11838
1700108239848,12968,HTTP Request,200,OK,Thread Group 1-23,text,true,,129630,118,20,20,https://www.cricbuzz.com/,12372,0,12064
1700108241445,11372,HTTP Request,200,OK,Thread Group 1-55,text,true,,129630,118,19,19,https://www.cricbuzz.com/,10777,0,10479
1700108242847,9970,HTTP Request,200,OK,Thread Group 1-83,text,true,,129630,118,19,19,https://www.cricbuzz.com/,9498,0,9235
1700108238970,13847,HTTP Request,200,OK,Thread Group 1-3,text,true,,129618,118,13,13,https://www.cricbuzz.com/,13244,0,13028
1700108239484,13334,HTTP Request,200,OK,Thread Group 1-16,text,true,,129630,118,13,13,https://www.cricbuzz.com/,12738,0,12474
1700108240554,12277,HTTP Request,200,OK,Thread Group 1-37,text,true,,129618,118,9,9,https://www.cricbuzz.com/,11642,0,11437
1700108242241,10590,HTTP Request,200,OK,Thread Group 1-71,text,true,,129630,118,9,9,https://www.cricbuzz.com/,9951,0,9740
1700108238971,13864,HTTP Request,200,OK,Thread Group 1-4,text,true,,129630,118,9,9,https://www.cricbuzz.com/,13240,0,13025
1700108239277,13565,HTTP Request,200,OK,Thread Group 1-12,text,true,,129630,118,8,8,https://www.cricbuzz.com/,13228,0,12669
1700108240702,12157,HTTP Request,200,OK,Thread Group 1-40,text,true,,129630,118,5,5,https://www.cricbuzz.com/,11688,0,10852
1700108243443,9424,HTTP Request,200,OK,Thread Group 1-95,text,true,,129630,118,4,4,https://www.cricbuzz.com/,9056,0,8529
1700108239747,13128,HTTP Request,200,OK,Thread Group 1-21,text,true,,129630,118,3,3,https://www.cricbuzz.com/,12753,0,12244
1700108240947,11932,HTTP Request,200,OK,Thread Group 1-45,text,true,,129630,118,2,2,https://www.cricbuzz.com/,11562,0,11025
1700108243344,9561,HTTP Request,200,OK,Thread Group 1-93,text,true,,129630,118,1,1,https://www.cricbuzz.com/,9323,0,8701
